Instructor,Course,Term,Enroll,Evals Made,Rcmd Class,Rcmnd Instr,Study Hours/week,avg Grade Expected,Average grade received
"Shurin, Jonathan","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",FA18,144,94,"
81.5 %
","
76.1 %
",5.09,"
B- (2.89)
","
C+ (2.56)
"
"Butler, Shannon Rhey","
BIEB 121 - Ecology Laboratory (A)
",FA18,16,16,"
100.0 %
","
100.0 %
",2.63,"
A- (3.75)
","
N/A
"
"Kohn, Joshua R","
BIEB 126 - Plant Ecology (A)
",FA18,75,36,"
93.9 %
","
87.9 %
",4.26,"
B+ (3.39)
","
B (3.04)
"
"Petrie, Katherine Lynn","
BIEB 146 - Genome Diversity and Dynamics (A)
",FA18,88,84,"
96.4 %
","
97.6 %
",4.38,"
B+ (3.69)
","
B+ (3.52)
"
"Kryazhimskiy, Sergey A","
BIEB 156 - Population Genetics (A)
",FA18,8,8,"
100.0 %
","
100.0 %
",6.25,"
B+ (3.43)
","
N/A
"
"Barton, Andrew David","
BIEB 174 - Ecosystems and Global Change (A)
",FA18,142,95,"
89.2 %
","
92.5 %
",6.04,"
B+ (3.34)
","
B- (2.83)
"
"Cleland, Elsa Eleanor","
BIEB 174 - Ecosystems and Global Change (A)
",FA18,139,96,"
89.4 %
","
80.9 %
",6.09,"
B+ (3.35)
","
B- (2.83)
"
"Mel, Stephanie","
BILD 1 - The Cell (A)
",FA18,275,127,"
88.5 %
","
89.3 %
",5.25,"
B (3.18)
","
C+ (2.35)
"
"Cooper, Andrew Michael","
BILD 1 - The Cell (B)
",FA18,278,247,"
91.8 %
","
95.1 %
",5.13,"
B (3.22)
","
B- (2.89)
"
"Byrne, Kathryne","
BILD 1 - The Cell (C)
",FA18,145,75,"
61.8 %
","
41.8 %
",5.65,"
B+ (3.30)
","
B+ (3.31)
"
"Burg, Michael","
BILD 10 - Fundamental Concepts/Modrn Bio (A)
",FA18,343,296,"
95.2 %
","
98.3 %
",3.67,"
B+ (3.50)
","
B+ (3.40)
"
"Burg, Michael","
BILD 2 - Multicellular Life (A)
",FA18,399,364,"
98.9 %
","
97.5 %
",4.7,"
B+ (3.53)
","
B+ (3.36)
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",FA18,113,64,"
73.0 %
","
73.0 %
",3.53,"
B (3.04)
","
B- (2.91)
"
"Stockwell, Sarah R","
BILD 3 - Organismic&Evolutionary Biol (A)
",FA18,381,289,"
86.5 %
","
87.5 %
",5.73,"
B (3.23)
","
B- (2.80)
"
"Stockwell, Sarah R","
BILD 3 - Organismic&Evolutionary Biol (B)
",FA18,371,299,"
88.8 %
","
93.8 %
",5.38,"
B (3.19)
","
B- (2.80)
"
"Broccard Bell, Heather Chr","
BILD 3 - Organismic&Evolutionary Biol (C)
",FA18,116,65,"
90.3 %
","
92.9 %
",3.88,"
B+ (3.49)
","
C+ (2.47)
"
"Lo, Stanley Malvin Ming-Hi","
BILD 4 - Introductory Biology Lab (A)
",FA18,372,325,"
90.7 %
","
95.0 %
",3.5,"
B+ (3.50)
","
B+ (3.69)
"
"Mel, Stephanie","
BILD 4 - Introductory Biology Lab (B)
",FA18,186,148,"
96.5 %
","
97.9 %
",2.83,"
B+ (3.59)
","
B+ (3.69)
"
"Macagno, Eduardo R.","
BILD 60 - DEI in Relation to Human Bio (A)
",FA18,41,17,"
76.5 %
","
64.7 %
",2.97,"
A- (3.75)
","
A- (3.79)
"
"Mohan, Swarna","
BILD 70 - Genomics Research Init Lab I (A)
",FA18,27,20,"
100.0 %
","
100.0 %
",1.97,"
A- (3.84)
","
A (4.00)
"
"Saier, Milton H.","
BILD 87 - Freshman Seminar (A)
",FA18,19,11,"
88.9 %
","
100.0 %
",0.5,"
A (4.00)
","
N/A
"
"Saier, Milton H.","
BILD 87 - Freshman Seminar (B)
",FA18,19,11,"
63.6 %
","
81.8 %
",0.68,"
A (4.00)
","
N/A
"
"Butler, Madeline","
BILD 96 - Biology: Honors Seminar (A)
",FA18,22,21,"
95.2 %
","
100.0 %
",0.6,"
A (4.00)
","
N/A
"
"Lykke-Andersen, Jens","
BIMM 100 - Molecular Biology (A)
",FA18,272,212,"
87.3 %
","
94.3 %
",6.77,"
B (3.29)
","
B- (2.79)
"
"Pasquinelli, Amy","
BIMM 100 - Molecular Biology (B)
",FA18,213,177,"
93.1 %
","
94.3 %
",6.83,"
B (3.19)
","
C+ (2.63)
"
"Day, Christopher D","
BIMM 101 - Recombinant DNA Techniques (A)
",FA18,42,13,"
100.0 %
","
100.0 %
",4.5,"
A- (3.77)
","
B+ (3.45)
"
"Miller, Steven W.","
BIMM 101 - Recombinant DNA Techniques (B)
",FA18,44,34,"
82.4 %
","
82.4 %
",6.85,"
B+ (3.38)
","
B (3.12)
"
"Grossman, Emily N","
BIMM 101 - Recombinant DNA Techniques (C)
",FA18,47,46,"
95.7 %
","
93.5 %
",5.46,"
B+ (3.51)
","
B+ (3.60)
"
"Cooper, Andrew Michael","
BIMM 101 - Recombinant DNA Techniques (E)
",FA18,38,36,"
88.9 %
","
83.3 %
",8.72,"
B+ (3.39)
","
B+ (3.51)
"
"Reuther, Keefe","
BIMM 101 - Recombinant DNA Techniques (F)
",FA18,42,17,"
100.0 %
","
100.0 %
",6.23,"
B (3.20)
","
B (3.22)
"
"Tour, Ella","
BIMM 101 - Recombinant DNA Techniques (G)
",FA18,88,42,"
87.8 %
","
90.2 %
",6.74,"
B+ (3.37)
","
B+ (3.32)
"
"Day, Christopher D","
BIMM 110 - Molecular Basis/Human Disease (A)
",FA18,269,122,"
88.9 %
","
86.8 %
",6.03,"
B+ (3.61)
","
B+ (3.38)
"
"Golden, Susan S.","
BIMM 116 - Circadian Rhythms-Bio Clocks (A)
",FA18,153,130,"
79.2 %
","
86.2 %
",5.95,"
B+ (3.39)
","
B+ (3.30)
"
"Gorman, Michael R.","
BIMM 116 - Circadian Rhythms-Bio Clocks (A)
",FA18,157,128,"
78.9 %
","
83.5 %
",5.92,"
B+ (3.38)
","
B+ (3.30)
"
"Pirino, Giorgia","
BIMM 120 - Microbiology (A)
",FA18,146,131,"
90.1 %
","
88.5 %
",5.73,"
B+ (3.49)
","
B- (2.93)
"
"Gustafson-Brown, Cindy","
BIMM 121 - Laboratory in Microbiology (A)
",FA18,32,30,"
96.7 %
","
100.0 %
",10.17,"
B- (2.97)
","
B (3.08)
"
"Pirino, Giorgia","
BIMM 121 - Laboratory in Microbiology (B)
",FA18,38,37,"
81.1 %
","
89.2 %
",7.15,"
B (3.00)
","
B (3.19)
"
"Byrne, Kathryne","
BIMM 122 - Microbial Genetics (A)
",FA18,51,27,"
51.9 %
","
22.2 %
",7.83,"
B+ (3.31)
","
B+ (3.54)
"
"Gustafson-Brown, Cindy","
BIMM 124 - Medical Microbiology (A)
",FA18,136,99,"
87.2 %
","
90.5 %
",8.93,"
B (3.22)
","
C+ (2.53)
"
"Hao, Nan","
BIMM 140 - Quantitative Principles in Bio (A)
",FA18,96,68,"
93.9 %
","
97.0 %
",4.47,"
B+ (3.63)
","
B+ (3.54)
"
"Suel, Gurol Mehmet","
BIMM 140 - Quantitative Principles in Bio (A)
",FA18,95,68,"
93.9 %
","
89.4 %
",4.47,"
B+ (3.63)
","
B+ (3.54)
"
"Grant, Barry J","
BIMM 143 - Bioinformatics Laboratory (A)
",FA18,22,17,"
100.0 %
","
100.0 %
",4.5,"
B+ (3.53)
","
B+ (3.46)
"
"Mayfield, Stephen P.","
BIMM 194 - Adv Topics-Molecular Bio (A)
",FA18,21,10,"
100.0 %
","
100.0 %
",2.3,"
A- (3.89)
","
B+ (3.68)
"
"Golden, James W","
BIMM 194 - Adv Topics-Molecular Bio (B)
",FA18,22,8,"
100.0 %
","
100.0 %
",2,"
A (4.00)
","
A- (3.99)
"
"Bloodgood, Brenda Laurie","
BIPN 100 - Human Physiology I (A)
",FA18,372,342,"
93.2 %
","
92.6 %
",8.26,"
B (3.26)
","
B- (2.88)
"
"Cooke, James Edward","
BIPN 100 - Human Physiology I (B)
",FA18,44,30,"
93.3 %
","
93.3 %
",7.23,"
B (3.27)
","
B (3.03)
"
"Reyes Gonzalez, Catalina","
BIPN 100 - Human Physiology I (C)
",FA18,213,200,"
89.9 %
","
83.8 %
",8.47,"
B (3.17)
","
B- (2.73)
"
"Fortes, P. A. George","
BIPN 102 - Human Physiology II (A)
",FA18,112,45,"
89.2 %
","
80.6 %
",7.69,"
B+ (3.61)
","
B (3.06)
"
"Armour, Jon Christopher","
BIPN 105 - Animal Physiology Lab (A)
",FA18,95,39,"
97.3 %
","
100.0 %
",14.06,"
B (3.20)
","
B (3.02)
"
"Reyes Gonzalez, Catalina","
BIPN 105 - Animal Physiology Lab (B)
",FA18,49,45,"
93.3 %
","
100.0 %
",13.41,"
B (3.04)
","
B- (2.85)
"
"Spitzer, Nicholas","
BIPN 140 - Cellular Neurobiology (A)
",FA18,98,45,"
88.1 %
","
92.7 %
",6.93,"
B+ (3.34)
","
C+ (2.63)
"
"Su, Chih-Ying","
BIPN 140 - Cellular Neurobiology (A)
",FA18,110,44,"
87.8 %
","
100.0 %
",6.94,"
B+ (3.35)
","
C+ (2.63)
"
"Root, Cory Matthew","
BIPN 160 - Neuroanatomy (A)
",FA18,47,28,"
66.7 %
","
51.9 %
",4.64,"
B+ (3.52)
","
B+ (3.44)
"
"Banghart, Matthew Ryan","
BIPN 194 - Adv Topics-Phys/Neuro (A)
",FA18,20,9,"
100.0 %
","
85.7 %
",4.5,"
A- (3.88)
","
A- (3.91)
"
"Pekkurnaz Banghart, Gulcin","
BIPN 194 - Adv Topics-Phys/Neuro (B)
",FA18,12,7,"
100.0 %
","
100.0 %
",4.5,"
A- (3.86)
","
N/A
"
"Pfaff, Samuel","
BIPN 194 - Adv Topics-Phys/Neuro (D)
",FA18,11,5,"
100.0 %
","
100.0 %
",3.7,"
A (4.00)
","
N/A
"
"Yelon, Deborah","
BISP 194 - Adv Topics in Modern Biology (A)
",FA18,27,22,"
100.0 %
","
100.0 %
",3.59,"
A- (3.95)
","
A (4.00)
"
"Wertheim, Joel Okrent","
BISP 194 - Adv Topics in Modern Biology (B)
",FA18,30,20,"
100.0 %
","
100.0 %
",1.9,"
A- (3.90)
","
A- (3.96)
"
"Cooke, James Edward","
BISP 195 - Instructional Apprentice: Biol (0)
",FA18,102,52,"
91.5 %
","
97.9 %
",1.78,"
A (4.00)
","
N/A
"
"Cook, Orna","
BIBC 100 - Structural Biochemistry (A)
",S218,54,17,"
100.0 %
","
87.5 %
",7.63,"
B+ (3.65)
","
B+ (3.52)
"
"Doblas Ibanez, Paula Adela","
BIBC 103 - Biochemical Techniques (A)
",S218,34,18,"
88.9 %
","
100.0 %
",9.44,"
B (3.06)
","
B (3.15)
"
"Painter, Chelsea Danielle","
BIBC 120 - Nutrition (A)
",S218,72,54,"
100.0 %
","
98.0 %
",7.36,"
B+ (3.33)
","
B (3.18)
"
"Rana, Brinda Kanti","
BICD 100 - Genetics (A)
",S218,73,21,"
81.0 %
","
61.9 %
",6.31,"
B+ (3.33)
","
B (3.11)
"
"Gustafson-Brown, Cindy","
BICD 136 - AIDS Science and Society (A)
",S218,70,39,"
94.9 %
","
97.4 %
",10.14,"
B (3.21)
","
B- (2.76)
"
"Wills, Christopher","
BIEB 150 - Evolution (A)
",S218,43,18,"
88.9 %
","
88.9 %
",5.83,"
B- (2.82)
","
B (3.27)
"
"Mohan, Swarna","
BILD 1 - The Cell (A)
",S218,37,27,"
88.5 %
","
88.5 %
",8.2,"
B (3.04)
","
C+ (2.44)
"
"Gustafson-Brown, Cindy","
BILD 10 - Fundamental Concepts/Modrn Bio (A)
",S218,28,24,"
91.3 %
","
95.7 %
",7.46,"
B (3.20)
","
B- (2.86)
"
"Chu, Monica W","
BILD 12 - Neurobiology and Behavior (A)
",S218,27,9,"
100.0 %
","
100.0 %
",5.61,"
B (3.25)
","
B+ (3.39)
"
"Vijapurkar, Ulka","
BILD 2 - Multicellular Life (A)
",S218,63,17,"
93.8 %
","
100.0 %
",7.75,"
B+ (3.40)
","
B (3.28)
"
"Broccard Bell, Heather Chr","
BILD 3 - Organismic&Evolutionary Biol (A)
",S218,65,28,"
72.0 %
","
88.0 %
",6.12,"
B (3.21)
","
C+ (2.69)
"
"Lo, Stanley Malvin Ming-Hi","
BILD 4 - Introductory Biology Lab (A)
",S218,57,23,"
90.0 %
","
100.0 %
",4.21,"
B+ (3.57)
","
A- (3.73)
"
"Mudla, Anusorn","
BIMM 100 - Molecular Biology (A)
",S218,84,77,"
100.0 %
","
100.0 %
",6.81,"
B+ (3.52)
","
B+ (3.38)
"
"Bozinovic, Goran","
BIMM 101 - Recombinant DNA Techniques (A)
",S218,35,16,"
92.3 %
","
100.0 %
",6.67,"
B (3.17)
","
B (3.21)
"
"Pirino, Giorgia","
BIMM 120 - Microbiology (A)
",S218,67,60,"
100.0 %
","
98.3 %
",6.73,"
B+ (3.51)
","
B- (2.79)
"
"Burg, Michael","
BIMM 134 - Biology of Cancer (A)
",S218,176,155,"
98.7 %
","
98.7 %
",8.18,"
B+ (3.57)
","
B+ (3.47)
"
"Fortes, P. A. George","
BIPN 120 - Endocrinology (A)
",S218,31,11,"
100.0 %
","
90.9 %
",9.3,"
B+ (3.45)
","
B- (2.92)
"
"Mohan, Swarna","
BIBC 102 - Metabolic Biochemistry (A)
",S118,109,78,"
88.3 %
","
81.8 %
",10.63,"
B (3.00)
","
C+ (2.51)
"
"Bozinovic, Goran","
BIBC 103 - Biochemical Techniques (A)
",S118,52,13,"
100.0 %
","
83.3 %
",8.96,"
B (3.08)
","
B (3.17)
"
"Ryan, Genevieve Elaine","
BICD 100 - Genetics (A)
",S118,58,46,"
91.3 %
","
82.6 %
",5.98,"
B (3.27)
","
C+ (2.68)
"
"Rusert, Jessica Marie","
BICD 110 - Cell Biology (A)
",S118,41,37,"
86.5 %
","
81.1 %
",8.5,"
B+ (3.44)
","
B- (2.94)
"
"Rizk, Maryan Girgis Soliman","
BICD 140 - Immunology (A)
",S118,41,19,"
94.7 %
","
83.3 %
",8.92,"
B+ (3.35)
","
B+ (3.56)
"
"Butler, Shannon Rhey","
BIEB 102 - Intro Eclgy/Organisms&Habitats (A)
",S118,60,55,"
96.3 %
","
96.2 %
",3.9,"
B+ (3.63)
","
B+ (3.59)
"
"Davis, Amanda Gabrielle","
BILD 1 - The Cell (A)
",S118,62,56,"
94.6 %
","
92.9 %
",7.61,"
B+ (3.39)
","
B- (2.89)
"
"Saier, Milton H.","
BILD 18 - Human Impact on the Environmnt (A)
",S118,14,10,"
90.0 %
","
77.8 %
",6.5,"
B (3.00)
","
N/A
"
"Reuther, Keefe","
BILD 2 - Multicellular Life (A)
",S118,60,52,"
96.2 %
","
96.2 %
",7.31,"
B+ (3.43)
","
B+ (3.42)
"
"Rana, Brinda Kanti","
BILD 20 - Human Genetics/Modern Society (A)
",S118,30,12,"
81.8 %
","
90.9 %
",6.14,"
B- (2.86)
","
B (3.29)
"
"Waterton, Joseph Sebastian","
BILD 3 - Organismic&Evolutionary Biol (A)
",S118,72,25,"
87.5 %
","
91.7 %
",5.58,"
B+ (3.30)
","
B- (2.81)
"
"Reuther, Keefe","
BILD 4 - Introductory Biology Lab (A)
",S118,54,39,"
97.4 %
","
97.4 %
",3.66,"
A- (3.78)
","
A- (3.78)
"
"Cooper, Andrew Michael","
BIMM 100 - Molecular Biology (A)
",S118,56,52,"
100.0 %
","
100.0 %
",7.04,"
B+ (3.67)
","
B+ (3.40)
"
"Chu, Monica W","
BIMM 101 - Recombinant DNA Techniques (A)
",S118,41,40,"
100.0 %
","
95.0 %
",9.05,"
B+ (3.56)
","
B+ (3.59)
"
"Armour, Jon Christopher","
BIPN 100 - Human Physiology I (A)
",S118,95,24,"
100.0 %
","
100.0 %
",9.92,"
B (3.22)
","
C+ (2.52)
"
"Cooke, James Edward","
BIPN 134 - Human Reproduction (A)
",S118,83,25,"
100.0 %
","
100.0 %
",7.46,"
B (3.29)
","
B (3.07)
"
"Grossman, Emily N","
BIBC 100 - Structural Biochemistry (A)
",SP18,349,315,"
88.2 %
","
89.8 %
",5.93,"
B+ (3.38)
","
B (3.20)
"
"Coleman, Aaron B.","
BIBC 102 - Metabolic Biochemistry (A)
",SP18,379,166,"
95.6 %
","
96.8 %
",7.32,"
B (3.24)
","
C+ (2.61)
"
"Feng, Gen-Sheng","
BIBC 102 - Metabolic Biochemistry (B)
",SP18,113,56,"
84.9 %
","
69.8 %
",8.69,"
B+ (3.36)
","
B- (2.97)
"
"Soowal, Lara","
BIBC 103 - Biochemical Techniques (A)
",SP18,54,20,"
88.9 %
","
88.9 %
",4.5,"
B (3.22)
","
B- (2.90)
"
"Coleman, Aaron B.","
BIBC 103 - Biochemical Techniques (B)
",SP18,71,27,"
95.7 %
","
90.9 %
",5.62,"
B (3.21)
","
B (3.12)
"
"Burg, Michael","
BIBC 103 - Biochemical Techniques (C)
",SP18,72,66,"
100.0 %
","
100.0 %
",6.32,"
B+ (3.46)
","
B+ (3.46)
"
"Mayfield, Stephen P.","
BIBC 140 - Our Energy Future (A)
",SP18,150,90,"
88.9 %
","
94.4 %
",4.92,"
B (3.15)
","
B (3.02)
"
"Huffaker, Alisa","
BIBC 151 - Chem of Bio Interactions (A)
",SP18,18,13,"
100.0 %
","
100.0 %
",8.35,"
A- (3.85)
","
N/A
"
"Schmelz, Eric Alexander","
BIBC 151 - Chem of Bio Interactions (A)
",SP18,18,13,"
100.0 %
","
100.0 %
",8.35,"
A- (3.85)
","
N/A
"
"Day, Christopher D","
BICD 100 - Genetics (A)
",SP18,315,133,"
92.7 %
","
83.3 %
",5.1,"
B+ (3.55)
","
B (3.17)
"
"Troemel, Emily Ruth","
BICD 100 - Genetics (B)
",SP18,272,132,"
96.8 %
","
86.9 %
",4.44,"
B+ (3.61)
","
B- (2.90)
"
"Forbes, Douglass Jane","
BICD 110 - Cell Biology (A)
",SP18,323,161,"
89.0 %
","
85.0 %
",6.66,"
B+ (3.49)
","
B (3.30)
"
"Lim, Byungkook","
BICD 110 - Cell Biology (B)
",SP18,43,14,"
78.6 %
","
71.4 %
",7.79,"
B (3.14)
","
B (3.24)
"
"Cooper, Kimberly Lynn","
BICD 112 - Stem Cells and Regeneration (A)
",SP18,65,49,"
87.8 %
","
93.9 %
",6.74,"
B (3.24)
","
B+ (3.42)
"
"Traver, David","
BICD 112 - Stem Cells and Regeneration (A)
",SP18,65,49,"
87.8 %
","
95.9 %
",6.74,"
B (3.24)
","
B+ (3.42)
"
"Lu, Li-Fan","
BICD 140 - Immunology (A)
",SP18,166,134,"
87.2 %
","
91.7 %
",8.85,"
B (3.13)
","
B (3.11)
"
"Desai, Arshad","
BICD 194 - Adv Topics-Cellular Dev (A)
",SP18,20,8,"
100.0 %
","
100.0 %
",3.25,"
A- (3.88)
","
A- (3.83)
"
"Oegema, Karen","
BICD 194 - Adv Topics-Cellular Dev (A)
",SP18,20,9,"
100.0 %
","
100.0 %
",3.39,"
A- (3.89)
","
A- (3.83)
"
"Goldrath, Ananda","
BICD 194 - Adv Topics-Cellular Dev (B)
",SP18,27,16,"
100.0 %
","
100.0 %
",2.21,"
A- (3.93)
","
A (4.00)
"
"Cleland, Elsa Eleanor","
BIEB 121 - Ecology Laboratory (A)
",SP18,35,14,"
100.0 %
","
100.0 %
",5.36,"
A- (3.79)
","
A- (3.87)
"
"Roy, Kaustuv","
BIEB 140 - Biodiversity (A)
",SP18,114,50,"
91.7 %
","
93.6 %
",5.04,"
B (3.27)
","
C+ (2.67)
"
"Chao, Lin","
BIEB 143 - Comp Modeling in Evol/Ecol (A)
",SP18,25,11,"
100.0 %
","
100.0 %
",5.95,"
B+ (3.55)
","
B+ (3.55)
"
"Rifkin, Scott","
BIEB 143 - Comp Modeling in Evol/Ecol (A)
",SP18,25,11,"
100.0 %
","
100.0 %
",5.95,"
B+ (3.55)
","
B+ (3.55)
"
"Petrie, Katherine Lynn","
BIEB 146 - Genome Diversity and Dynamics (A)
",SP18,39,33,"
97.0 %
","
100.0 %
",4.38,"
B+ (3.63)
","
B (3.20)
"
"Meyer, Justin Raymond","
BIEB 152 - Evol of Infectious Diseases (A)
",SP18,278,238,"
90.3 %
","
92.3 %
",5.58,"
B+ (3.46)
","
B (3.15)
"
"Stockwell, Sarah R","
BIEB 154 - Evolutionary Inquiry (A)
",SP18,45,37,"
97.3 %
","
100.0 %
",6.39,"
B+ (3.57)
","
B- (2.96)
"
"Kryazhimskiy, Sergey A","
BIEB 156 - Population Genetics (A)
",SP18,15,13,"
91.7 %
","
91.7 %
",6.83,"
B+ (3.33)
","
N/A
"
"Patrick, Gentry","
BILD 1 - The Cell (A)
",SP18,243,128,"
84.6 %
","
72.4 %
",5.85,"
B (3.08)
","
B- (2.92)
"
"Pekkurnaz Banghart, Gulcin","
BILD 1 - The Cell (B)
",SP18,37,17,"
93.8 %
","
87.5 %
",3.75,"
A- (3.87)
","
B (3.24)
"
"Chu, Monica W","
BILD 1 - The Cell (C)
",SP18,261,201,"
94.0 %
","
94.9 %
",4.84,"
B+ (3.47)
","
B (3.13)
"
"Saier, Milton H.","
BILD 18 - Human Impact on the Environmnt (A)
",SP18,148,63,"
91.4 %
","
87.5 %
",3.22,"
B+ (3.51)
","
B (3.19)
"
"Burg, Michael","
BILD 2 - Multicellular Life (A)
",SP18,401,364,"
98.1 %
","
97.8 %
",5.08,"
B+ (3.42)
","
B (3.21)
"
"Strause, Linda G.","
BILD 22 - Human Nutrition (A)
",SP18,403,227,"
95.1 %
","
95.9 %
",3.24,"
B+ (3.58)
","
B+ (3.57)
"
"Cooper, Kimberly Lynn","
BILD 3 - Organismic&Evolutionary Biol (A)
",SP18,285,209,"
90.0 %
","
94.2 %
",5.23,"
B (3.02)
","
B- (2.74)
"
"Kurle, Carolyn M.","
BILD 3 - Organismic&Evolutionary Biol (B)
",SP18,415,204,"
95.2 %
","
98.9 %
",4.51,"
B+ (3.37)
","
B- (2.96)
"
"Reuther, Keefe","
BILD 4 - Introductory Biology Lab (A)
",SP18,176,126,"
87.9 %
","
97.6 %
",3.18,"
B+ (3.68)
","
B+ (3.52)
"
"Mel, Stephanie","
BILD 4 - Introductory Biology Lab (B)
",SP18,180,115,"
94.6 %
","
99.1 %
",3.5,"
B+ (3.65)
","
B+ (3.60)
"
"Mel, Stephanie","
BILD 60 - DEI in Relation to Human Bio (A)
",SP18,48,23,"
95.2 %
","
100.0 %
",2.5,"
A (4.00)
","
A- (3.76)
"
"Saier, Milton H.","
BILD 87 - Freshman Seminar (A)
",SP18,13,9,"
87.5 %
","
87.5 %
",0.75,"
N/A
","
N/A
"
"Saier, Milton H.","
BILD 87 - Freshman Seminar (B)
",SP18,16,5,"
100.0 %
","
100.0 %
",0.5,"
N/A
","
N/A
"
"Hampton, Randolph Y.","
BILD 87 - Freshman Seminar (C)
",SP18,18,15,"
92.9 %
","
100.0 %
",0.9,"
A (4.00)
","
N/A
"
"Pruneda-Paz, Jose L.","
BIMM 100 - Molecular Biology (A)
",SP18,314,151,"
95.9 %
","
98.6 %
",7.05,"
B+ (3.44)
","
N/A
"
"Reuther, Keefe","
BIMM 100 - Molecular Biology (B)
",SP18,218,189,"
86.2 %
","
88.3 %
",6.53,"
B (3.19)
","
B (3.26)
"
"Bozinovic, Goran","
BIMM 101 - Recombinant DNA Techniques (A)
",SP18,85,46,"
73.7 %
","
75.7 %
",8.14,"
B- (2.97)
","
B (3.22)
"
"Tour, Ella","
BIMM 101 - Recombinant DNA Techniques (B)
",SP18,51,24,"
91.7 %
","
95.8 %
",7.25,"
B+ (3.61)
","
B+ (3.33)
"
"Herndon, Jenny Dyann","
BIMM 101 - Recombinant DNA Techniques (D)
",SP18,49,48,"
95.8 %
","
100.0 %
",5.67,"
A- (3.70)
","
A- (3.92)
"
"Day, Christopher D","
BIMM 101 - Recombinant DNA Techniques (E)
",SP18,51,22,"
95.2 %
","
100.0 %
",7.26,"
B+ (3.55)
","
B+ (3.44)
"
"Grossman, Emily N","
BIMM 101 - Recombinant DNA Techniques (F)
",SP18,48,43,"
100.0 %
","
100.0 %
",6.41,"
B+ (3.55)
","
B+ (3.69)
"
"Chu, Monica W","
BIMM 101 - Recombinant DNA Techniques (G)
",SP18,48,46,"
100.0 %
","
100.0 %
",6.11,"
B+ (3.56)
","
B+ (3.36)
"
"Niwa, Maho","
BIMM 110 - Molecular Basis/Human Disease (A)
",SP18,182,84,"
98.7 %
","
93.5 %
",5.66,"
B+ (3.45)
","
B (3.25)
"
"Gustafson-Brown, Cindy","
BIMM 114 - Virology (A)
",SP18,152,106,"
89.4 %
","
93.3 %
",9.4,"
B (3.07)
","
C+ (2.66)
"
"Gustafson-Brown, Cindy","
BIMM 121 - Laboratory in Microbiology (A)
",SP18,47,40,"
82.5 %
","
92.5 %
",11.45,"
B (3.00)
","
B (3.19)
"
"Pirino, Giorgia","
BIMM 121 - Laboratory in Microbiology (B)
",SP18,97,87,"
92.0 %
","
96.6 %
",8.62,"
B+ (3.38)
","
B+ (3.36)
"
"Grant, Barry J","
BIMM 143 - Bioinformatics Laboratory (A)
",SP18,22,19,"
94.7 %
","
94.7 %
",5.66,"
B+ (3.63)
","
B+ (3.35)
"
"Baker, Timothy Stanley","
BIMM 164 - Structural Biology of Viruses (A)
",SP18,25,9,"
100.0 %
","
100.0 %
",5,"
B+ (3.50)
","
B (3.22)
"
"Mohan, Swarna","
BIMM 171B - Genomics Research Init Lab II (A)
",SP18,25,19,"
100.0 %
","
94.1 %
",3.17,"
A- (3.94)
","
A- (3.99)
"
"Bafna, Vineet","
BIMM 182 - Biological Databases (A)
",SP18,16,5,"
80.0 %
","
80.0 %
",10.1,"
B (3.20)
","
N/A
"
"Bansal, Vikas","
BIMM 182 - Biological Databases (C)
",SP18,8,3,"
100.0 %
","
66.7 %
",8.5,"
B+ (3.50)
","
N/A
"
"Pruneda-Paz, Jose L.","
BIMM 194 - Adv Topics-Molecular Bio (B)
",SP18,32,14,"
100.0 %
","
100.0 %
",2.79,"
A- (3.93)
","
A (4.00)
"
"Hasty, Jeff M","
BIMM 194 - Adv Topics-Molecular Bio (C)
",SP18,25,9,"
100.0 %
","
100.0 %
",1.61,"
A- (3.89)
","
A- (3.97)
"
"Vijapurkar, Ulka","
BIPN 100 - Human Physiology I (A)
",SP18,171,72,"
92.4 %
","
87.9 %
",6.98,"
B+ (3.30)
","
B- (2.97)
"
"Reyes Gonzalez, Catalina","
BIPN 100 - Human Physiology I (B)
",SP18,299,263,"
93.1 %
","
93.8 %
",6.88,"
B (3.06)
","
B- (2.70)
"
"Fortes, P. A. George","
BIPN 102 - Human Physiology II (A)
",SP18,157,70,"
93.9 %
","
78.8 %
",7.77,"
B+ (3.52)
","
B (3.17)
"
"Armour, Jon Christopher","
BIPN 105 - Animal Physiology Lab (A)
",SP18,74,29,"
95.8 %
","
100.0 %
",11.94,"
B (3.08)
","
C+ (2.67)
"
"Reyes Gonzalez, Catalina","
BIPN 105 - Animal Physiology Lab (B)
",SP18,51,46,"
84.4 %
","
97.7 %
",13.57,"
B (3.11)
","
B- (2.98)
"
"Fortes, P. A. George","
BIPN 120 - Endocrinology (A)
",SP18,84,46,"
91.3 %
","
80.4 %
",5.59,"
B+ (3.58)
","
B (3.20)
"
"Banghart, Matthew Ryan","
BIPN 140 - Cellular Neurobiology (A)
",SP18,37,21,"
90.0 %
","
85.0 %
",8,"
B+ (3.32)
","
B- (2.98)
"
"Sejnowski, Terrence J","
BIPN 146 - Computational Neurobiology (A)
",SP18,41,12,"
83.3 %
","
83.3 %
",4.83,"
B (3.00)
","
B+ (3.68)
"
